Program Year,Group Type,Count of Children Served,Group
SPP 2016 - 2017,Child's Age on Aug 31st of their Program Year,<10,Unknown
SPP 2017 - 2018,Child's Age on Aug 31st of their Program Year,691,Age 4
SPP 2015 - 2016,Child's Age on Aug 31st of their Program Year,90,Age 3
SPP 2017 - 2018,Child's Age on Aug 31st of their Program Year,287,Age 3
SPP 2015 - 2016,Child's Age on Aug 31st of their Program Year,184,Age 4
SPP 2018 - 2019,Child's Age on Aug 31st of their Program Year,483,Age 3
SPP 2016 - 2017,Child's Age on Aug 31st of their Program Year,151,Age 3
SPP 2018 - 2019,Child's Age on Aug 31st of their Program Year,945,Age 4
SPP 2016 - 2017,Child's Age on Aug 31st of their Program Year,463,Age 4
SPP 2018 - 2019,Child's Age on Aug 31st of their Program Year,<10,Unknown
SPP 2017 - 2018,Child's Age on Aug 31st of their Program Year,<10,Unknown
SPP 2015 - 2016,"Federal Poverty Level (combination of income and household size, verified at enrollment)",219,0-300% FPL (Free)
SPP 2018 - 2019,"Federal Poverty Level (combination of income and household size, verified at enrollment)",232,301-759% FPL (Partial Tution)
SPP 2016 - 2017,"Federal Poverty Level (combination of income and household size, verified at enrollment)",401,0-300% FPL (Free)
SPP 2017 - 2018,"Federal Poverty Level (combination of income and household size, verified at enrollment)",778,0-300% FPL (Free)
SPP 2015 - 2016,"Federal Poverty Level (combination of income and household size, verified at enrollment)",<10,760%+ FPL (Full Tution)
SPP 2018 - 2019,"Federal Poverty Level (combination of income and household size, verified at enrollment)",1155,0-300% FPL (Free)
SPP 2016 - 2017,"Federal Poverty Level (combination of income and household size, verified at enrollment)",44,760%+ FPL (Full Tution)
SPP 2017 - 2018,"Federal Poverty Level (combination of income and household size, verified at enrollment)",39,760%+ FPL (Full Tution)
SPP 2018 - 2019,"Federal Poverty Level (combination of income and household size, verified at enrollment)",52,760%+ FPL (Full Tution)
SPP 2016 - 2017,"Federal Poverty Level (combination of income and household size, verified at enrollment)",172,301-759% FPL (Partial Tution)
SPP 2017 - 2018,"Federal Poverty Level (combination of income and household size, verified at enrollment)",165,301-759% FPL (Partial Tution)
SPP 2015 - 2016,"Federal Poverty Level (combination of income and household size, verified at enrollment)",47,301-759% FPL (Partial Tution)
SPP 2016 - 2017,Child's Race/Ethnicity (as identified by family at enrollment),<10,American Indian/ Alaskan Native
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),304,White
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),417,Black/African-American
SPP 2016 - 2017,Child's Race/Ethnicity (as identified by family at enrollment),105,Two or More Races
SPP 2016 - 2017,Child's Race/Ethnicity (as identified by family at enrollment),163,Black/African-American
SPP 2017 - 2018,Child's Race/Ethnicity (as identified by family at enrollment),285,Black/African-American
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),11,Native Hawaiian/Other Pacific Islander
SPP 2016 - 2017,Child's Race/Ethnicity (as identified by family at enrollment),114,Asian
SPP 2015 - 2016,Child's Race/Ethnicity (as identified by family at enrollment),23,Two or More Races
SPP 2015 - 2016,Child's Race/Ethnicity (as identified by family at enrollment),26,Unknown or Other Race
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),202,Hispanic/ Latino
SPP 2017 - 2018,Child's Race/Ethnicity (as identified by family at enrollment),<10,American Indian/ Alaskan Native
SPP 2015 - 2016,Child's Race/Ethnicity (as identified by family at enrollment),47,Asian
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),15,North African/Middle Eastern
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),<10,Unknown or Other Race
SPP 2018 - 2019,Child's Race/Ethnicity (as identified by family at enrollment),261,Asian
SPP 2017 - 2018,Child's Race/Ethnicity (as identified by family at enrollment),119,Hispanic/ Latino
